oil,Ex,SPY,DGS3,inf,unrate,indpro,house_starts
0.0,0.0012493085810445,-0.0395447360031742,-0.39,0.0013610073553747,-0.4,-0.0089356835713925,0.029026675050590534
0.0,0.0009270484868457,-0.0137186267029143,-0.65,0.0,0.600000000000001,-0.0090204532755455,-0.30400440240260007
0.0,0.0012821884436378,0.0128218460850169,-0.0800000000000001,0.00441052453733,-0.2,-0.007958082954032,0.15040801558881967
0.0,-0.0012465498898466,-0.0091933950794365,0.0600000000000001,0.0010150567611519,-0.100000000000001,-0.0011444801283144,-0.014062731749739932
0.0,-0.0011767434096312,0.0362770931679606,-0.83,0.0013518082491144,0.300000000000001,-0.0126507248460586,-0.0190633255094097
0.0,0.0020316878903188,-0.0251118412158524,-0.16,-0.0020283982613928,0.0999999999999996,-0.0034765881875085,-0.04092224012206991
0.0,0.0006407290291461,0.0119271551876352,0.0,0.0020283982613928,0.0999999999999996,-0.0011644306603519,0.11583181552511945
0.0,0.0008892209232715,-0.0305449545837266,0.18,0.0,-0.0999999999999996,-0.0105195406263037,-0.20307106080785964
0.0,-0.0003911597937613,-0.0199011543172953,-0.18,0.0047169898781387,0.6,-0.0011737577080031,0.12735923907217028
0.0,0.0007110858580225,0.0318708293264129,0.0700000000000003,0.001007895264224,0.0,-0.0142201871212051,0.0
0.0,-0.0022060140595472,0.0236939916599628,-0.12,0.001006880434117,0.5,-0.0192758629122376,-0.15884332100544984
0.0,-0.0003562649223616,0.0501306469438836,-0.0099999999999997,0.0010058676455804,0.0,0.0012137155846123,0.10695848563643917
0.0,-0.0023188209380531,0.0402055956102565,0.18,0.0,0.300000000000001,-0.0012137155846123,0.03570325251777007
0.0,-0.0008575410537305,0.0308837594601066,-0.0299999999999998,0.0,0.0,0.0060628751359148,0.06779585300786994
0.0,0.0002144542148472,0.0263193337384333,-0.1,-0.0010058676455804,0.0999999999999996,0.0203483578391777,-0.11797360259358936
0.0,-0.0014663545840203,0.0101262861820226,0.0,0.0010058676455804,0.0999999999999996,0.0152853265183981,0.05180774179665004
0.0,-0.001504352158772,-0.013321420128853,0.04,0.0,-0.199999999999999,0.0139070902787894,0.11814489562052977
0.0,-0.0008606469727256,-0.0027468352384634,-0.0899999999999999,0.0026773777707163,0.0999999999999996,0.0114390808766394,-0.03460043349326991
0.0,0.0055453337816104,0.035280999148382,0.15,0.0006682258852057,-0.4,0.0090613221705471,-0.017378601330320542
